I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Aleksandra ¯urawska (L);I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
*;*;;*;;-;0;0;-1;4;1;0;-25%;0;0;-;-;0;0;0;0;-;-;0;0;17 Paulina Ba³dyga ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
6;6;6;6;;-;12;5;10;7;2;1;14%;0;0;-;-;16;0;0;9;56%;56%;2;2;18 Sinead Jack Kisal ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;21 Sonia Kubacka ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Gabriela Polañska ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
4;4;4;4;;-;24;10;6;17;5;3;0%;0;0;-;-;43;6;7;21;49%;19%;0;3;3 Kiera Van Ryk ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
;;*;;;-;0;0;0;2;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;4 Magdalena Grabka ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
1;1;1;1;;-;5;2;4;16;1;2;6%;0;0;-;-;1;0;0;0;0%;0%;3;2;5 Marta Krajewska ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
;;;*;;-;1;0;1;0;0;0;-;0;0;-;-;2;0;0;1;50%;50%;0;1;6 Aleksandra Rasiñska ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
2;2;2;2;;-;12;4;8;15;1;0;-7%;11;0;36%;18%;41;1;2;12;29%;22%;0;0;7 Jelena Blagojeviæ ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
6;6;6;6;;-;10;3;8;9;1;0;0%;4;0;50%;50%;18;0;1;7;39%;33%;3;4;8 Anna Stencel ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
;;;*;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;9 Anna Kaczmar ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
3;3;3;3;;-;4;1;0;10;2;0;-20%;1;0;0%;0%;9;1;1;3;33%;11%;1;1;10 Zuzanna Efimienko-M³otkowska ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
5;5;5;5;;-;10;5;5;15;2;1;-7%;34;2;32%;21%;26;0;1;8;31%;27%;1;3;12 Alexandra Laziæ ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
*;*;*;*;;-;2;1;1;3;0;1;33%;14;1;79%;14%;2;0;0;1;50%;50%;0;0;16 Juliette Fidon-Lebleu ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
*;*;*;*;;-;0;0;-4;0;0;0;-;20;4;25%;5%;0;0;0;0;-;-;0;0;17 Aleksandra Krzos (L);I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;20 Daria Przyby³a (L);I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;20.04.2021, 20:30
4;4;3;;;-;16;8;8;11;3;0;-27%;13;1;54%;23%;30;2;2;15;50%;37%;1;1;1 Ana Bjelica ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
1;1;6;;;-;6;2;-1;12;2;0;-17%;23;0;61%;30%;20;2;3;4;20%;-5%;2;0;2 Samara Rodrigues De Almeida ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
3;3;2;;;-;18;6;13;18;2;1;0%;0;0;-;-;31;2;1;15;48%;39%;2;0;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
*;*;*;;;-;0;0;0;0;0;0;-;18;0;61%;50%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;*;;;;-;0;0;-1;0;0;0;-;0;0;-;-;2;1;0;0;0%;-50%;0;0;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
5;5;4;;;-;15;4;14;8;0;0;12%;0;0;-;-;14;1;0;10;71%;64%;5;0;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Julia Twardowska ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
*;*;*;;;-;0;0;0;0;0;0;-;2;0;50%;0%;0;0;0;0;-;-;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
2;2;1;;;-;2;1;0;18;1;0;0%;0;0;-;-;5;0;1;2;40%;20%;0;0;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
6;6;5;;;-;2;1;2;7;0;0;0%;0;0;-;-;1;0;0;1;100%;100%;1;0;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Katarina Osadchuk ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;4;;;-;2;0;2;3;0;0;0%;0;0;-;-;5;0;0;1;20%;20%;1;0;4 Joanna Pacak ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
3;5;3;;;-;10;1;2;13;2;0;-15%;24;0;42%;13%;26;5;1;9;35%;12%;1;0;6 Aleksandra Wójcik ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
6;;6;;;-;3;3;-3;8;0;1;12%;17;1;53%;29%;15;1;4;2;13%;-20%;0;0;7 Katarina Lazoviæ ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
*;;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;8 Aleksandra Szczepañska ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
4;6;;;;-;4;1;2;6;1;0;-17%;0;0;-;-;13;1;0;4;31%;23%;0;0;9 Nadja Ninkoviæ ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agata Wawrzyñczyk ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
5;1;5;;;-;2;1;1;7;0;0;0%;0;0;-;-;3;0;1;1;33%;0%;1;0;12 Britt Bongaerts ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
1;3;1;;;-;7;1;7;8;0;0;25%;0;0;-;-;6;0;0;4;67%;67%;3;0;15 Klaudia Alagierska ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
2;4;;;;-;6;1;1;9;1;0;-11%;0;0;-;-;18;0;4;5;28%;6%;1;0;18 Katarzyna Zaroœliñska-Król ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
*;2;2;;;-;9;2;4;6;1;0;-17%;13;0;54%;23%;22;3;1;9;41%;23%;0;0;27 Ann Kalandadze ;I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
*;*;*;;;-;0;0;0;0;0;0;-;12;0;58%;50%;0;0;0;0;-;-;0;0;33 Magdalena Saad (L);I£ Capital Legionovia Legionowo;10.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;10.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Katarina Osadchuk ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
;;*;*;;-;1;0;1;2;0;0;0%;0;0;-;-;1;0;0;1;100%;100%;0;0;4 Joanna Pacak ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
4;4;4;3;2;-;10;4;5;16;0;2;19%;34;1;56%;32%;27;1;3;7;26%;11%;1;1;6 Aleksandra Wójcik ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
1;1;1;6;5;-;18;8;10;13;1;0;-8%;37;3;59%;22%;31;3;1;16;52%;39%;2;1;7 Katarina Lazoviæ ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
;;;;*;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Aleksandra Szczepañska ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
5;5;5;4;3;-;14;5;12;12;1;0;8%;0;0;-;-;18;1;0;10;56%;50%;4;3;9 Nadja Ninkoviæ ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agata Wawrzyñczyk ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
6;6;6;5;4;-;3;2;2;15;1;1;0%;0;0;-;-;2;0;0;0;0%;0%;2;4;12 Britt Bongaerts ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
*;*;*;*;;-;0;0;0;0;0;0;-;3;0;0%;0%;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
2;2;2;1;6;-;14;4;12;22;1;1;0%;0;0;-;-;16;1;0;12;75%;69%;1;3;15 Klaudia Alagierska ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Oliwia Laszczyk ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
3;3;3;2;1;-;25;7;16;21;0;0;5%;0;0;-;-;48;1;8;22;46%;27%;3;1;18 Katarzyna Zaroœliñska-Król ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
;;*;*;;-;1;0;0;2;0;0;0%;3;0;33%;0%;3;0;1;1;33%;0%;0;0;27 Ann Kalandadze ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
*;*;*;*;*;-;0;0;-1;0;0;0;-;21;1;57%;33%;0;0;0;0;-;-;0;0;33 Magdalena Saad (L);I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
3;4;4;4;4;-;28;12;20;14;2;2;0%;25;2;32%;16%;49;0;4;24;49%;41%;2;1;1 Ana Bjelica ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
6;1;1;1;1;-;9;3;2;19;1;1;11%;45;2;56%;27%;24;0;4;8;33%;17%;0;2;2 Samara Rodrigues De Almeida ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
2;3;3;3;3;-;34;6;27;24;3;0;0%;3;0;67%;0%;54;1;3;32;59%;52%;2;1;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
*;*;*;*;*;-;0;0;0;0;0;0;-;13;0;62%;31%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
;*;;;;-;0;0;0;1;0;0;0%;1;0;0%;0%;0;0;0;0;-;-;0;0;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
*;*;*;*;*;-;3;0;3;0;0;0;-;0;0;-;-;5;0;0;3;60%;60%;0;0;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
4;5;5;5;5;-;8;4;4;13;1;0;-8%;1;0;0%;0%;16;2;1;5;31%;12%;3;3;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
*;;;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;12 Julia Twardowska ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
*;*;*;*;*;-;0;0;-1;0;0;0;-;11;0;64%;18%;1;0;1;0;0%;-100%;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
1;2;2;2;2;-;8;6;5;22;2;2;0%;0;0;-;-;7;1;0;2;29%;14%;4;4;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
5;6;6;6;6;-;4;2;4;13;0;0;0%;0;0;-;-;5;0;0;2;40%;40%;2;2;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;13.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;13.04.2021, 20:30
4;4;4;4;4;-;16;5;2;18;2;0;-11%;28;2;36%;18%;50;8;2;14;28%;8%;2;0;1 Ana Bjelica ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
1;1;1;1;1;-;14;5;6;12;2;0;-8%;35;1;74%;43%;32;2;3;13;41%;25%;1;0;2 Samara Rodrigues De Almeida ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
3;3;3;3;3;-;21;5;4;21;3;1;-5%;0;0;-;-;56;7;7;20;36%;11%;0;0;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
*;*;*;*;*;-;0;0;-2;0;0;0;-;22;2;68%;32%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
*;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;1;0;0;0;0%;0%;0;0;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
5;5;5;5;5;-;19;12;16;17;1;4;24%;0;0;-;-;30;1;1;11;37%;30%;4;0;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Julia Twardowska ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
*;*;*;*;*;-;0;0;0;0;0;0;-;7;0;100%;57%;1;0;0;0;0%;0%;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
2;2;2;2;2;-;7;3;4;19;2;1;11%;0;0;-;-;10;1;0;3;30%;20%;3;0;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
6;6;6;6;6;-;2;1;2;14;0;0;7%;0;0;-;-;3;0;0;1;33%;33%;1;0;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Katarina Osadchuk ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Joanna Pacak ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
3;4;3;2;3;-;13;5;5;15;2;0;-13%;36;3;39%;22%;31;2;1;12;39%;28%;1;0;6 Aleksandra Wójcik ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
6;1;*;*;*;-;4;1;-2;12;1;0;-8%;12;1;50%;33%;14;2;2;4;29%;0%;0;0;7 Katarina Lazoviæ ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;*;;-;1;0;1;0;0;0;-;0;0;-;-;1;0;0;1;100%;100%;0;0;8 Aleksandra Szczepañska ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
4;5;4;3;4;-;12;5;10;20;2;3;10%;1;0;0%;0%;12;0;0;5;42%;42%;4;0;9 Nadja Ninkoviæ ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;*;;-;0;0;0;0;0;0;-;0;0;-;-;2;0;0;0;0%;0%;0;0;10 Agata Wawrzyñczyk ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
5;6;5;4;5;-;1;1;0;13;1;0;-8%;0;0;-;-;1;0;0;0;0%;0%;1;0;12 Britt Bongaerts ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
1;2;1;6;1;-;7;4;4;16;1;1;0%;3;0;67%;33%;10;1;1;3;30%;10%;3;0;15 Klaudia Alagierska ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Oliwia Laszczyk ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
2;3;2;1;2;-;21;5;14;20;1;1;5%;0;0;-;-;53;0;6;19;36%;25%;1;0;18 Katarzyna Zaroœliñska-Król ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;*;6;5;6;-;12;6;9;4;0;0;0%;15;0;33%;20%;24;2;1;9;38%;25%;3;0;27 Ann Kalandadze ;I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
*;*;*;*;*;-;0;0;-2;0;0;0;-;24;2;71%;33%;0;0;0;0;-;-;0;0;33 Magdalena Saad (L);I£ Capital Legionovia Legionowo;17.04.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;17.04.2021, 14:45
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Katarina Osadchuk ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
*;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Joanna Pacak ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
3;2;3;;;-;3;3;-4;14;1;0;-7%;24;1;58%;29%;16;2;3;3;19%;-12%;0;1;6 Aleksandra Wójcik ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
6;5;6;;;-;15;8;8;13;1;2;8%;18;1;44%;11%;27;3;2;10;37%;19%;3;2;7 Katarina Lazoviæ ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Aleksandra Szczepañska ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
4;3;4;;;-;11;3;11;10;0;0;10%;0;0;-;-;11;0;0;7;64%;64%;4;7;9 Nadja Ninkoviæ ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agata Wawrzyñczyk ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
5;4;5;;;-;3;2;2;15;0;0;0%;0;0;-;-;4;0;1;2;50%;25%;1;1;12 Britt Bongaerts ;I£ Capital Legionovia Legionowo;20.04.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;20.04.2021, 17:30
