I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;15 Kinga Wysokiñska (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 17:00
*;*;*;;;-;0;0;-1;0;0;0;-;10;1;70%;60%;0;0;0;0;-;-;0;0;16 Oliwia Ba³uk (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 17:00
*;;*;;;-;2;1;2;1;0;0;0%;1;0;0%;0%;3;0;0;2;67%;67%;0;0;18 Aleksandra Dudek ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 17:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;22 Sylwia Kucharska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 17:00
1;6;1;;;-;4;2;2;13;1;1;15%;0;0;-;-;5;1;0;2;40%;20%;1;2;23 Natalia Gajewska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 17:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Aleksandra Szczepañska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
4;4;4;;;-;6;2;2;10;1;0;-10%;21;0;71%;10%;18;1;2;6;33%;17%;0;2;6 Aleksandra Wójcik ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
3;3;3;;;-;19;8;9;10;4;0;-30%;1;0;0%;0%;37;1;5;15;41%;24%;4;0;8 Katarzyna Zaroœliñska-Król ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
5;5;5;;;-;8;3;7;9;0;0;0%;0;0;-;-;13;0;1;6;46%;38%;2;3;9 Freya Aelbrecht ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
2;2;2;;;-;1;1;-1;12;1;1;0%;1;0;0%;0%;3;0;1;0;0%;-33%;0;2;10 Zuzanna Efimienko-M³otkowska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
6;6;6;;;-;5;4;4;13;1;3;31%;0;0;-;-;2;0;0;1;50%;50%;1;1;11 Kaisa Alanko ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
1;1;1;;;-;13;4;7;14;0;1;21%;24;2;46%;17%;27;4;0;12;44%;30%;0;0;12 Alexandra Laziæ ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
*;*;*;;;-;0;0;0;0;0;0;-;7;0;86%;14%;0;0;0;0;-;-;0;0;13 Renata Bia³a (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
;*;*;;;-;1;0;1;6;0;0;50%;0;0;-;-;3;0;0;1;33%;33%;0;0;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
*;*;*;;;-;1;0;1;0;0;0;-;3;0;67%;0%;3;0;0;1;33%;33%;0;0;16 Srna Markoviæ ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
1;*;5;;;-;3;2;-1;6;2;0;-33%;13;0;38%;15%;11;0;2;3;27%;9%;0;1;2 Martyna Grajber ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
*;*;*;;;-;0;0;-1;0;0;0;-;15;1;53%;27%;1;0;0;0;0%;0%;0;0;3 Paulina Maj-Erwardt (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
;;*;;;-;1;0;1;1;0;0;0%;0;0;-;-;2;0;0;0;0%;0%;1;1;4 Joanna Pacak ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
*;4;;;;-;2;1;-3;3;0;0;0%;9;2;56%;0%;9;1;2;2;22%;-11%;0;0;5 Pietra Jukoski ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
2;5;6;;;-;10;4;7;8;2;0;-25%;0;0;-;-;11;1;0;6;55%;45%;4;2;6 Kamila Witkowska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
6;3;4;;;-;16;3;12;14;1;0;0%;0;0;-;-;29;2;1;15;52%;41%;1;0;8 Weronika Sobiczewska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
3;6;1;;;-;2;2;1;10;1;1;0%;1;0;0%;0%;2;0;0;1;50%;50%;0;0;12 Roberta Ratzke ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
;*;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Angelika Gajer ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
5;2;3;;;-;8;1;5;10;1;0;-10%;1;0;0%;0%;9;1;1;5;56%;33%;3;3;15 Klaudia Alagierska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
*;*;2;;;-;1;0;-3;4;1;0;-25%;6;1;50%;17%;5;2;0;1;20%;-20%;0;0;18 Julita Piasecka ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
4;1;*;;;-;8;4;1;11;2;1;-9%;22;1;27%;5%;21;3;1;7;33%;14%;0;0;21 Veronica Jones-Perry ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;02.10.2021, 20:30
3;4;3;3;3;-;10;4;5;12;1;0;0%;0;0;-;-;36;2;2;7;19%;8%;3;1;1 Patrycja Balmas ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
1;2;;*;*;-;6;2;1;11;1;1;9%;6;1;17%;0%;23;1;2;5;22%;9%;0;0;3 Tatjana Bokan ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Kamila Kobus ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;7 Magdalena Mazurek ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
*;*;*;*;*;-;0;0;0;0;0;0;-;35;0;63%;37%;0;0;0;0;-;-;0;0;8 Magdalena Saad (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;*;1;1;1;-;8;5;2;6;1;0;-17%;28;3;54%;46%;16;2;0;7;44%;31%;1;1;9 Zuzanna Szperlak ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
4;5;4;4;4;-;16;5;7;16;0;0;0%;25;0;28%;16%;55;6;3;16;29%;13%;0;3;10 Mariana Cassemiro ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
5;6;5;5;5;-;8;2;4;19;2;0;-5%;1;1;0%;0%;10;1;0;5;50%;40%;3;3;11 Paulina Majkowska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;*;;-;1;0;1;1;0;0;0%;0;0;-;-;6;0;0;1;17%;17%;0;1;15 Majka Szczepañska-Pogoda ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
6;1;6;6;6;-;9;5;9;20;0;0;0%;1;0;0%;0%;3;0;0;2;67%;67%;7;4;17 Paulina Ba³dyga ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
2;3;2;2;2;-;12;6;6;17;3;0;-18%;0;0;-;-;18;2;1;5;28%;11%;7;5;18 Leticia Hage ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;1;6;-;3;0;2;3;0;0;0%;0;0;-;-;5;1;0;3;60%;40%;0;1;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
6;1;3;4;3;-;12;4;10;13;1;0;-8%;1;0;100%;100%;18;0;1;11;61%;56%;1;4;2 Lauren Barfield ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
5;6;2;3;2;-;23;13;3;12;3;0;-25%;52;0;46%;19%;73;11;6;21;29%;5%;2;3;3 Olivia Ró¿añski ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;*;;;-;1;0;-2;5;0;0;0%;3;0;67%;0%;7;1;2;1;14%;-28%;0;0;6 Magdalena Damaske ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
1;2;4;5;4;-;10;4;3;15;2;1;0%;1;0;100%;100%;23;2;3;8;35%;13%;1;5;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Sonia Stefanik ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
2;3;5;6;5;-;17;11;7;15;0;3;20%;10;0;20%;0%;41;2;8;11;27%;2%;3;0;10 Yaprak Erkek ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
*;*;*;*;*;-;0;0;0;0;0;0;-;26;0;62%;35%;0;0;0;0;-;-;0;0;11 Izabela Lemañczyk (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Diana D¹browska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Hanna Tylska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;*;*;;;-;1;0;0;1;0;0;0%;0;0;-;-;3;0;1;1;33%;0%;0;0;14 Maja Szymañska ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Gyselle Silva Franco ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
3;4;6;;;-;6;2;3;12;2;0;-8%;1;1;0%;0%;13;0;0;6;46%;46%;0;5;18 Aleksandra Gryka ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
4;5;1;2;1;-;3;3;2;29;1;1;7%;0;0;-;-;3;0;0;1;33%;33%;1;0;21 Alicja Grabka ;I£ Capital Legionovia Legionowo;02.10.2021I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;02.10.2021, 16:00
;;*;;;-;0;0;-1;0;0;0;-;1;0;100%;100%;1;0;1;0;0%;-100%;0;0;1 Marta Wellna ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;*;3;-;2;0;2;4;0;0;0%;0;0;-;-;5;0;0;2;40%;40%;0;0;3 Aleksandra Gromadowska ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;5 Magdalena Hawry³a ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
4;5;4;3;;-;10;2;4;12;1;0;0%;0;0;-;-;26;2;3;8;31%;12%;2;2;6 Aleksandra Rasiñska ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
5;6;5;4;4;-;16;7;5;22;2;0;-9%;22;3;50%;18%;34;1;5;13;38%;21%;3;1;7 Andrea Kossanyiova ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
3;4;3;2;2;-;10;5;4;17;5;0;-28%;0;0;-;-;9;0;1;5;56%;44%;5;4;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
2;3;2;1;1;-;20;8;7;23;4;1;-4%;28;5;50%;11%;38;2;2;18;47%;37%;1;1;9 Natalia Murek ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
*;*;*;*;*;-;0;0;-2;0;0;0;-;40;2;45%;23%;0;0;0;0;-;-;0;0;10 Agnieszka Adamek (L);I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;11 Adrianna Szady ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Joanna Chor¹¿a ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Anna Bodasiñska (L);I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
1;2;1;6;6;-;5;2;1;19;2;1;0%;0;0;-;-;5;2;0;2;40%;0%;2;5;19 Anna Kaczmar ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
6;1;6;5;5;-;14;7;10;15;1;2;7%;0;0;-;-;18;1;2;7;39%;22%;5;2;22 Karolina Fedorek ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;23 Julia Stancelewska ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Justyna Kêdziora ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
2;2;2;2;2;-;5;2;0;17;4;0;-18%;1;0;0%;0%;10;0;1;1;10%;0%;4;6;5 Ma³gorzata Lisiak ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;*;*;-;1;1;1;5;0;1;20%;0;0;-;-;0;0;0;0;-;-;0;0;6 Anna Lewandowska ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
6;6;6;6;6;-;9;4;6;19;2;3;5%;0;0;-;-;7;0;1;5;71%;56%;1;2;7 Martyna £azowska ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
4;4;4;4;4;-;17;7;3;20;2;1;0%;31;2;61%;26%;39;5;5;13;33%;8%;3;1;8 Zuzanna Górecka ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
5;5;5;5;5;-;12;7;5;11;4;2;-9%;1;0;100%;0%;15;1;2;7;47%;27%;3;2;9 Weronika Centka ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
*;;;;;-;0;0;-1;1;0;0;0%;0;0;-;-;3;0;1;0;0%;-33%;0;0;10 Ana Cleger ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
1;1;1;1;1;-;12;4;1;17;2;1;-6%;34;1;41%;15%;29;3;5;10;34%;7%;1;1;14 Monika Fedusio ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Daria Skomorowska (L);I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
*;*;*;*;*;-;0;0;-1;0;0;0;-;27;1;70%;41%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
*;*;;;*;-;1;0;1;0;0;0;-;0;0;-;-;2;0;0;0;0%;0%;1;0;23 Maja Pelczarska ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
;*;;;*;-;0;0;0;2;0;0;0%;3;0;33%;0%;0;0;0;0;-;-;0;0;24 Paulina Damaske ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
3;3;3;3;3;-;25;8;12;18;5;2;0%;0;0;-;-;54;5;3;22;41%;26%;1;2;91 Julia Szczurowska ;I£ Capital Legionovia Legionowo;04.10.2021I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;04.10.2021, 17:30
4;3;4;3;;-;9;4;6;9;1;0;-11%;0;0;-;-;13;2;0;8;62%;46%;1;1;1 Judyta Gawlak ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Angelika Wystel ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;3 Amelia Senica ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
;;*;6;;-;2;0;1;2;0;0;0%;0;0;-;-;5;0;1;2;40%;20%;0;0;4 Paulina Brzoska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
*;;;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;5 Agata Michalewicz ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
;*;6;;;-;4;0;1;8;1;0;-12%;19;1;37%;26%;12;0;1;4;33%;25%;0;0;6 Vangeliya Rachkovska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
3;2;3;2;;-;9;3;3;11;3;0;-27%;8;0;63%;25%;33;1;2;8;24%;15%;1;1;7 Natalia Skrzypkowska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
*;*;*;*;;-;0;0;-1;0;0;0;-;21;1;38%;19%;0;0;0;0;-;-;0;0;8 Agata Nowak (L);I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
*;*;*;4;;-;6;0;3;6;0;0;0%;0;0;-;-;18;1;2;5;28%;11%;1;0;9 Joanna Sikorska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
1;6;1;;;-;6;4;3;15;2;1;20%;0;0;-;-;6;0;1;2;33%;17%;3;2;11 Sonia Kubacka ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
5;4;5;*;;-;10;1;-1;7;1;0;-14%;0;0;-;-;35;5;5;10;29%;0%;0;0;12 Maria Luisa Oliveira ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Monika Jag³a (L);I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
2;1;2;1;;-;4;2;2;12;2;1;-8%;0;0;-;-;8;0;0;1;13%;12%;2;3;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
6;5;;5;;-;3;0;-4;11;1;0;0%;35;3;37%;17%;13;1;2;3;23%;0%;0;0;16 Julia Twardowska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
1;1;2;1;;-;11;6;5;15;3;0;-20%;0;0;-;-;14;2;1;6;43%;21%;5;1;2 Marta Orzy³owska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
6;6;1;6;;-;18;7;11;14;1;1;0%;14;1;36%;14%;39;2;3;13;33%;21%;4;1;3 Kinga Stronias ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
3;3;4;3;;-;11;4;4;15;1;0;0%;38;0;50%;32%;28;4;2;10;36%;14%;1;2;5 Regiane Bidias ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
4;4;5;4;;-;11;4;6;13;4;2;-15%;0;0;-;-;13;0;1;8;62%;54%;1;4;7 Vivian Pellegrino ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;9 Gabriela Borawska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
*;;;;;-;0;0;0;0;0;0;-;2;0;50%;50%;0;0;0;0;-;-;0;0;10 Marta Pamu³a ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
*;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;11 Aleksandra Muszyñska ;I£ Capital Legionovia Legionowo;01.10.2021I£ Capital Legionovia Legionowo-1:3-Grupa Azoty Chemik Police;01.10.2021, 17:30
