I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
*;*;;;;1;2;0;1;0,00;0;0;0;0;-;0;-;2;0;1;1;50%;0;0,00;1 Ma≥gorzata Sobolewska ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
*;*;*;;;0;0;0;0;0,00;12;2;6;3;25%;1;8%;0;0;0;0;0%;0;0,00;3 Anna G≥owiak (L);Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
*;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;2;0;2;0;0%;0;0,00;4 Aleksandra WaÒczyk ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
3;3;3;;;7;9;0;0;0,00;0;0;0;0;-;0;-;11;1;0;5;45%;2;0,67;5 Alicia Ogoms ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;;*;;;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Justyna Andrzejczak ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
*;*;2;;;2;7;0;2;0,00;15;1;4;6;40%;6;40%;8;1;0;2;25%;0;0,00;7 Kinga Dybek ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
6;6;6;;;5;4;0;1;0,00;0;0;0;0;-;0;-;13;0;2;3;23%;2;0,67;8 Ewelina Janicka ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
5;5;5;;;6;3;0;0;0,00;18;1;5;10;56%;4;22%;17;2;2;4;24%;2;0,67;9 Natalia StrÛzik ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
1;1;1;;;1;11;1;1;0,33;1;0;1;0;0%;0;0%;3;0;0;0;0%;0;0,00;11 Adrianna Szady ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
4;4;4;;;14;11;1;1;0,33;0;0;0;0;-;0;-;40;4;3;11;28%;2;0,67;12 Rebecka Lazic ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;*;;;;0;0;0;0;0,00;8;0;2;4;50%;3;38%;0;0;0;0;0%;0;0,00;14 Klaudia Kulig (L);Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;*;;;;0;2;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;15 Aleksandra Cygan ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
2;2;*;;;7;11;1;1;0,33;11;1;4;4;36%;2;18%;24;1;2;6;25%;0;0,00;17 Ljubica Kecman ;Energa MKS Kalisz;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Maja Tokarska ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
2;2;2;;;9;11;2;2;0,67;1;0;1;0;0%;0;0%;4;1;0;2;50%;5;1,67;3 Kamila Witkowska ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Barbara Zakoúcielna ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
5;5;5;;;11;12;2;2;0,67;0;0;0;0;-;0;-;7;0;0;7;100%;2;0,67;5 Magdalena Hawry≥a ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;*;;;;0;1;0;0;0,00;0;0;0;0;-;0;-;3;0;0;0;0%;0;0,00;6 Katarzyna ØabiÒska ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
4;4;4;;;11;14;0;0;0,00;5;0;3;0;0%;0;0%;37;1;4;11;30%;0;0,00;7 Jelena BlagojeviÊ ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
6;6;6;;;2;10;0;2;0,00;0;0;0;0;-;0;-;5;1;0;1;20%;1;0,33;8 Petya Barakowa ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
*;*;*;;;0;0;0;0;0,00;15;3;3;5;33%;5;33%;0;0;0;0;0%;0;0,00;9 Agata Sawicka (L);Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
1;1;1;;;12;13;1;1;0,33;33;0;14;14;42%;10;30%;25;1;0;7;28%;4;1,33;12 Michaela Mlejnkova ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
*;*;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;15 Dorota MedyÒska (L);Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Agnieszka Rabka ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;*;;;;0;1;0;0;0,00;0;0;0;0;-;0;-;2;0;0;0;0%;0;0,00;17 Kinga Hatala ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
3;3;3;;;10;12;0;2;0,00;0;0;0;0;-;0;-;35;1;4;10;29%;0;0,00;18 Katarzyna ZaroúliÒska-KrÛl ;Developres SkyRes RzeszÛw;12.12.2018Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw;12.12.2018, 18:30;2018/2019;zasadnicza;9
;*;1;1;;3;12;0;4;0,00;19;1;6;10;53%;4;21%;15;2;0;3;20%;0;0,00;1 Marta Wellna ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
6;6;6;6;;8;10;0;2;0,00;0;0;0;0;-;0;-;9;1;0;6;67%;2;0,50;2 Julia Nowicka ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
4;4;4;4;;14;10;0;2;0,00;28;2;7;12;43%;7;25%;33;5;2;11;33%;3;0,75;3 Olivia RÛøaÒski ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Marta £yczakowska ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;5 Klaudia Kubacka (L);BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
3;3;3;3;;13;20;4;6;1,00;0;0;0;0;-;0;-;24;1;4;9;38%;0;0,00;6 Katarzyna Konieczna ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
5;5;5;5;;13;13;3;0;0,75;0;0;0;0;-;0;-;12;0;1;8;67%;2;0,50;9 Nina Herelova ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Dominika Kozyra ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;*;*;;0;0;0;0;0,00;21;1;4;12;57%;8;38%;0;0;0;0;0%;0;0,00;11 Paulina Maj-Erwardt (L);BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;1;1;0;0;0%;0;0,00;12 Magda JagodziÒska ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Martyna åwirad ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
2;2;2;2;;11;19;2;0;0,50;1;0;0;0;0%;0;0%;13;1;0;7;54%;2;0,50;15 Kornelia Moskwa ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
1;1;;*;;5;7;0;1;0,00;11;2;2;4;36%;1;9%;12;1;2;5;42%;0;0,00;16 Emilia Mucha ;BKS PROFI CREDIT Bielsko-Bia≥a;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
5;5;5;6;;6;14;1;0;0,25;22;2;3;11;50%;6;27%;14;1;2;5;36%;0;0,00;1 Natalia Skrzypkowska ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;*;*;*;;0;0;0;0;0,00;14;0;3;7;50%;2;14%;0;0;0;0;0%;0;0,00;2 Olga Samul (L);E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
1;1;1;2;;5;17;2;2;0,50;0;0;0;0;-;0;-;6;0;0;1;17%;2;0,50;4 Alicja Grabka ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Maja Pelczarska ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;*;2;;;1;5;0;2;0,00;4;1;0;1;25%;1;25%;4;2;0;1;25%;0;0,00;7 Julita Molenda ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
3;3;3;4;;13;15;1;1;0,25;0;0;0;0;-;0;-;18;2;0;9;50%;3;0,75;8 Izabela Ba≥ucka ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;9 Gabriela Borawska ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Sonia Kubacka ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;*;;;0;0;0;0;0,00;18;5;4;5;28%;4;22%;0;0;0;0;0%;0;0,00;12 Kinga Drabek (L);E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
2;2;*;3;;9;9;1;1;0,25;18;1;2;9;50%;4;22%;29;3;3;8;28%;0;0,00;13 Renata Bia≥a ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;*;4;5;;13;10;0;2;0,00;0;0;0;0;-;0;-;24;1;2;10;42%;3;1,00;14 Brittany Abercrombie ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
6;6;6;1;;9;13;0;2;0,00;0;0;0;0;-;0;-;10;0;0;8;80%;1;0,25;16 Gabriela Ponikowska ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
4;4;;*;;5;8;1;1;0,33;0;0;0;0;-;0;-;14;2;2;4;29%;0;0,00;17 Majka SzczepaÒska-Pogoda ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;18 Alishanova Shafagat  ;E.Leclerc Radomka Radom;12.12.2018BKS PROFI CREDIT Bielsko-Bia≥a-1:3-E.Leclerc Radomka Radom;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;*;*;;0;0;0;0;0,00;21;0;8;12;57%;8;38%;0;0;0;0;0%;0;0,00;1 Maria Stenzel (L);Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
2;3;2;3;;11;14;2;6;0,50;0;0;0;0;-;0;-;15;1;2;8;53%;1;0,25;2 Gabriela PolaÒska ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;*;*;;;1;3;1;0;0,50;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
3;4;3;4;;22;9;0;4;0,00;0;0;0;0;-;0;-;43;2;3;21;49%;1;0,25;6 Jovana Brakocevic-Canzian ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
5;6;5;6;;10;12;0;0;0,00;0;0;0;0;-;0;-;24;4;2;9;38%;1;0,25;9 Jaroslava Pencova ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Justyna KÍdziora ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
1;2;1;2;;10;14;0;0;0,00;37;3;6;22;59%;8;22%;20;2;3;8;40%;2;0,50;11 Agata Babicz ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
6;1;6;1;;5;20;1;1;0,25;0;0;0;0;-;0;-;5;1;0;3;60%;1;0,25;12 Femke Stoltenborg ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
*;;;*;;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ewelina Tobiasz ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
*;*;*;5;;2;9;2;1;0,50;23;3;4;11;48%;5;22%;1;1;0;0;0%;0;0,00;17 Oliwia Urban ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
4;5;4;*;;6;5;1;0;0,25;10;0;2;7;70%;4;40%;12;1;0;3;25%;2;0,50;20 Anna BπczyÒska ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;22 Koleta £yszkiewicz ;Grot Budowlani £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
5;4;*;;;1;6;0;1;0,00;0;0;0;0;-;0;-;3;0;0;1;33%;0;0,00;1 Valerie Nichol ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
4;3;*;5;;10;6;1;1;0,25;0;0;0;0;-;0;-;8;0;0;7;88%;2;0,50;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
6;5;2;1;;21;13;1;0;0,25;21;3;1;14;67%;9;43%;27;4;0;16;59%;4;1,00;5 Regiane Bidias ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
3;2;5;4;;8;20;1;1;0,25;15;1;4;8;53%;4;27%;18;1;3;6;33%;1;0,25;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Daria Szczyrba ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;*;4;3;;11;9;1;1;0,33;0;0;0;0;-;0;-;26;3;2;10;38%;0;0,00;8 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Anna Korabiec (L);£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
2;1;;;;7;7;0;0;0,00;0;0;0;0;-;0;-;14;3;0;7;50%;0;0,00;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
*;*;*;*;;0;0;0;0;0,00;38;3;12;16;42%;7;18%;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
1;6;3;2;;7;10;0;2;0,00;0;0;0;0;-;0;-;8;0;2;5;62%;2;0,50;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
*;*;6;;;3;5;0;0;0,00;1;0;1;0;0%;0;0%;7;0;1;2;29%;1;0,33;16 Zuzanna Efimienko-M≥otkowska ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
;*;1;6;;3;21;2;0;0,67;0;0;0;0;-;0;-;3;0;0;1;33%;0;0,00;17 Marta WÛjcik ;£KS Commercecon £Ûdü;13.12.2018Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü;13.12.2018, 20:30;2018/2019;zasadnicza;9
*;*;*;;;0;0;0;0;0,00;21;1;7;11;52%;3;14%;0;0;0;0;0%;0;0,00;1 Zuzanna KuciÒska (L);KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
2;1;2;;;1;11;0;1;0,00;1;0;0;1;100%;0;0%;8;0;0;1;12%;0;0,00;2 Justyna Wojtowicz ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;;;;0;1;0;0;0,00;3;1;1;1;33%;1;33%;0;0;0;0;0%;0;0,00;3 Katarzyna Zackiewicz ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
6;5;6;;;1;5;0;2;0,00;0;0;0;0;-;0;-;3;0;0;1;33%;0;0,00;5 Olga Geyko ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
3;2;3;;;6;8;0;3;0,00;0;0;0;0;-;0;-;19;3;3;5;26%;1;0,33;6 Anna Miros ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
5;4;5;;;9;9;1;2;0,33;0;0;0;0;-;0;-;12;0;0;8;67%;0;0,00;7 Svitlana Dorsman ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
4;3;4;;;3;8;0;1;0,00;30;2;16;5;17%;2;7%;15;1;1;3;20%;0;0,00;9 Anastasiia Trach ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Emilia Oktaba ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Wiktoria Rdzanek (L);KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;;;;;0;1;0;1;0,00;0;0;0;0;-;0;-;2;0;0;0;0%;0;0,00;15 Agnieszka Wo≥oszyn ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
1;6;1;;;10;5;0;0;0,00;16;4;6;5;31%;2;13%;31;1;2;10;32%;0;0,00;23 Paula CzerwiÒska ;KSZO Ostrowiec;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;*;;;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;1 Bianka Busa ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
1;1;1;;;5;12;0;2;0,00;14;0;6;6;43%;3;21%;13;2;0;5;38%;0;0,00;2 Martyna Grajber ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
3;3;3;;;14;13;3;1;1,00;0;0;0;0;-;0;-;18;3;0;10;56%;1;0,33;3 Magdalena Stysiak ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Agnieszka Bednarek ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
